V0_LATITUDE,V1_LATITUDE,V2_LATITUDE,V3_LATITUDE,V0_LONGITUDE,V1_LONGITUDE,V2_LONGITUDE,V3_LONGITUDE,mg/si,al/si,ca/si
-16.077,-21.314,-21.324,-16.087,-130.393,-130.477,-129.774,-129.717,0.303,0.602,0.366
45.125,39.464,39.451,45.111,-127.516,-127.606,-126.735,-126.549,0.354,1.248,0.256
-25.088,-30.328,-30.34,-25.099,-127.383,-127.492,-126.718,-126.654,0.35,0.923,0.485
58.808,53.55,53.533,58.788,-127.219,-127.357,-126.175,-125.84,0.254,0.931,0.354
-19.121,-24.775,-24.786,-19.131,-124.114,-124.219,-123.493,-123.425,0.351,0.765,0.214
-22.331,-27.57,-27.581,-22.342,-125.225,-125.329,-124.58,-124.516,0.348,0.728,0.499
48.032,42.784,42.77,48.017,-127.466,-127.557,-126.632,-126.436,0.431,1.007,0.406
-78.807,-84.44,-84.56,-78.865,-135.83,-142.304,-133.956,-131.746,0.321,0.732,0.243
55.889,50.219,50.203,55.87,-128.376,-128.502,-127.411,-127.11,0.276,0.99,0.311
-43.493,-48.746,-48.761,-43.507,-130.998,-131.199,-130.129,-130.041,0.374,0.577,0.307
27.214,21.561,21.55,27.203,-128.825,-128.89,-128.192,-128.088,0.307,0.594,0.401
5.514,0.282,0.273,5.505,-129.062,-129.124,-128.484,-128.42,0.458,1.107,0.372
-71.881,-77.558,-77.61,-71.917,-133.406,-135.19,-131.54,-130.926,0.316,0.817,0.303
-22.844,-28.5,-28.511,-22.855,-129.448,-129.557,-128.8,-128.735,0.338,0.783,0.331
88.64,83.002,82.907,88.208,-107.63,-123.224,-116.87,-82.695,0.384,1.177,0.261
-71.567,-76.836,-76.886,-71.602,-132.318,-133.872,-130.419,-129.876,0.25,0.86,0.573
22.793,17.145,17.135,22.782,-121.439,-121.511,-120.848,-120.748,0.177,0.512,0.286
44.315,39.074,39.061,44.301,-123.256,-123.345,-122.493,-122.319,0.422,0.817,0.488
-63.787,-69.056,-69.087,-63.812,-131.162,-131.851,-129.718,-129.467,0.312,0.867,0.198
-30.719,-36.377,-36.389,-30.729,-133.804,-133.931,-133.091,-133.027,0.402,0.945,0.525
7.528,1.877,1.868,7.519,-132.228,-132.289,-131.645,-131.577,0.429,1.076,0.415
78.763,73.079,73.04,78.704,-122.383,-123.215,-120.651,-118.49,0.296,0.923,0.297
64.916,59.234,59.215,64.893,-132.505,-132.67,-131.234,-130.742,0.405,0.852,0.54
