V0 Latitude,V0 Longitude,V1 Latitude,V1 Longitude,V2 Latitude,V2 Longitude,V3 Latitude,V3 Longitude
-18.4984,-101.483,-24.1666,-101.778,-24.35,-100.926,-18.6495,-100.658
69.9101,71.2753,63.9489,71.8122,64.3352,73.5162,70.0943,73.7132
47.4208,76.7123,41.7759,77.3804,42.074,78.4434,47.7453,77.8654
-62.6239,81.3594,-68.4109,84.0006,-67.896,85.9595,-62.933,83.0812
58.3436,-105.604,52.7063,-105.281,52.9831,-104.044,58.6396,-104.184
63.2366,-105.405,57.6031,-105.037,57.8932,-103.641,63.5439,-103.751
-47.8454,-102.306,-53.4693,-103.126,-53.8069,-101.881,-48.1565,-101.19
-45.8183,-106.464,-51.4433,-107.21,-51.7721,-106.029,-46.1208,-105.396
10.852,-101.047,5.1691,-101.094,5.187,-100.299,10.904,-100.242
66.3579,68.5616,60.7536,70.0414,61.1294,71.5857,66.7589,70.4042
-41.6229,74.8342,-47.2899,74.5814,-47.5678,75.7734,-41.8769,75.9289
-68.6528,80.1589,-74.2476,84.6188,-74.1327,88.5229,-68.208,82.2981
-23.3904,-101.576,-29.0525,-101.926,-29.2659,-101.043,-23.5727,-100.729
-47.4247,-104.416,-53.0482,-105.217,-53.3838,-103.99,-47.734,-103.314
-81.4485,-123.762,-86.9082,-149.195,-86.2729,-139.051,-81.8635,-117.08
-71.7439,-117.593,-76.8155,-123.915,-76.9309,-119.404,-71.2853,-115.257
-67.8974,79.6805,-73.5386,79.2827,-73.8605,82.0422,-68.2106,81.7709
-86.8997,-133.565,-88.3382,102.391,-88.207,129.998,-86.422,-121.829
-40.2123,72.6055,-45.8823,72.3533,-46.1586,73.525,-40.4636,73.6867
83.4166,-121.517,77.6047,-116.991,77.7079,-112.312,83.4489,-112.678
56.5983,73.923,50.972,74.8684,51.3116,76.0992,56.9629,75.3065
-41.8428,-111.609,-47.4733,-112.241,-47.7872,-111.147,-42.1292,-110.607
24.661,-109.519,18.9925,-109.456,19.1045,-108.645,24.8042,-108.68
55.1262,-99.1157,49.4828,-98.8518,49.7438,-97.6877,55.4069,-97.8015
51.74,74.3093,46.1034,75.0896,46.4233,76.2227,52.0856,75.5572
67.7949,64.4258,62.1159,65.7641,62.4944,67.3502,68.1555,66.4039
-72.6021,75.8672,-78.2396,75.4765,-78.5582,79.3256,-72.9178,78.4949
45.4653,-107.038,39.8162,-106.823,40.0437,-105.839,45.717,-105.968
84.9475,56.2638,79.5323,68.5512,79.9737,72.4855,85.5111,63.5121
81.4513,77.3721,76.3294,75.9319,75.7105,78.5455,81.5159,84.3666
56.6373,69.7227,51.0113,70.6558,51.3544,71.889,57.0052,71.1079
-44.3386,70.5403,-50.0044,70.2352,-50.3027,71.5051,-44.6133,71.696
4.5016,-106.523,-1.1795,-106.61,-1.2061,-105.825,4.5099,-105.736
-71.8519,-106.878,-77.4066,-110.46,-77.8526,-107.238,-72.2527,-104.562
-66.2839,-113.096,-72.4584,-115.987,-71.9566,-113.74,-66.6571,-111.272
-32.0493,-111.355,-37.6948,-111.807,-37.9592,-110.858,-32.2841,-110.464
87.5813,70.6787,81.8357,69.0016,81.7002,76.1289,87.3879,93.7372
82.7937,-102.208,77.165,-102.456,77.456,-99.0078,83.0692,-95.9763
73.6604,-108.008,68.0353,-107.549,68.3408,-105.576,73.9776,-105.382
71.7231,73.5457,66.1365,75.7105,66.5236,77.5443,72.1408,75.8548
-81.9325,96.2239,-86.3284,118.741,-86.9561,129.249,-81.5082,103.012
-67.1433,-110.128,-72.7219,-112.391,-73.1395,-110,-67.5274,-108.269
-38.0652,-101.939,-43.7059,-102.511,-43.999,-101.47,-38.3306,-100.974
-58.7733,77.7757,-64.3259,77.592,-64.6974,79.3443,-59.0793,79.3033
89.9499,40.2508,85.4766,77.5386,85.3055,90.4114,89.1775,-100.051
-10.1888,-106.712,-15.8628,-106.92,-15.9924,-106.112,-10.2844,-105.919
66.745,-107.44,61.1164,-107.029,61.4138,-105.497,67.0584,-105.572
-57.3773,-103.925,-62.9829,-105.179,-63.3593,-103.577,-57.7268,-102.559
-71.3853,73.401,-77.0239,72.8955,-77.3538,76.4014,-71.709,75.8777
-19.857,-112.196,-25.5185,-112.492,-25.7117,-111.648,-20.0177,-111.383
63.3094,70.0477,57.6981,71.3189,58.0641,72.7444,63.7005,71.7105
16.0851,-107.463,10.4078,-107.464,10.4629,-106.671,16.1737,-106.654
-37.8183,-103.001,-43.4586,-103.567,-43.7505,-102.532,-38.0825,-102.041
-36.0284,-106.142,-41.6696,-106.668,-41.9527,-105.666,-36.2835,-105.207
-60.4925,-107.324,-66.0897,-108.788,-66.4779,-107.015,-60.8529,-105.845
-76.8557,-105.382,-82.3503,-112.565,-82.8534,-107.443,-77.2797,-102.213
-48.837,-110.807,-54.4557,-111.634,-54.7998,-110.376,-49.1547,-109.685
79.543,73.7709,74.3911,72.5717,73.9587,75.411,79.8673,79.0877
79.4224,-96.6221,73.791,-96.5662,74.0823,-93.8408,79.7121,-92.4395
-57.6253,-102.883,-63.2254,-104.152,-63.6027,-102.534,-57.9756,-101.505
-2.7419,-104.462,-8.4222,-104.61,-8.5002,-103.815,-2.7852,-103.674
12.8588,-108.579,7.1808,-108.601,7.2135,-107.816,12.9255,-107.783
42.5641,76.9688,36.9096,77.535,37.1838,78.5397,42.8661,78.0434
-8.458,-100.241,-14.1365,-100.441,-14.2538,-99.6287,-8.5414,-99.4421
-29.2515,-110.234,-34.9014,-110.647,-35.15,-109.728,-29.4701,-109.364
62.0018,75.4541,56.3878,76.6629,56.7443,78.0381,62.3834,77.0456
-83.0362,88.1099,-87.212,121.385,-87.6563,138.563,-82.5723,95.862
52.2796,76.3959,46.6445,77.1933,46.9642,78.3323,52.6246,77.6529
32.4557,-108.338,26.7935,-108.22,26.9533,-107.364,32.6443,-107.438
64.5407,-99.7789,58.9051,-99.4431,59.1927,-97.987,64.8441,-98.0366
88.6878,-58.0133,84.5294,-94.3491,84.7126,-85.8373,89.4003,-31.4734
-48.2629,79.4379,-53.9222,79.1476,-54.2184,80.5038,-48.5385,80.6511
22.717,-105.217,17.0422,-105.174,17.1417,-104.356,22.8482,-104.374
-82.4932,84.7161,-88.0794,95.4887,-88.0292,120.08,-82.7286,90.9362
59.826,71.5078,54.2069,72.5889,54.5604,73.9043,60.2044,73.0104
-73.835,70.4079,-79.4754,69.8286,-79.8087,74.2257,-74.1656,73.2966
47.3171,75.6511,41.6718,76.3168,41.9702,77.3801,47.6424,76.8045
71.641,-107.09,66.0145,-106.643,66.3189,-104.819,71.9586,-104.737
-3.8224,-101.249,-9.5035,-101.409,-9.589,-100.608,-3.8734,-100.456
-70.3693,-111.674,-75.9346,-114.657,-76.3706,-111.753,-70.7655,-109.528
11.1083,-102.123,5.4258,-102.168,5.4456,-101.373,11.1622,-101.319
-46.7371,-111.776,-52.3593,-112.535,-52.6955,-111.332,-47.0464,-110.694
75.8345,-108.863,70.2123,-108.401,70.5176,-106.232,76.1493,-105.853
55.1308,-101.297,49.4881,-101.025,49.7513,-99.861,55.4141,-99.9824
-16.5394,-108.946,-22.206,-109.211,-22.3777,-108.381,-16.6782,-108.14
55.9441,72.9291,50.3163,73.8467,50.6546,75.0639,56.3074,74.2931
-63.5045,-111.765,-69.0946,-113.494,-69.4982,-111.484,-63.8783,-110.135
1.0693,-101.18,-4.6138,-101.301,-4.6648,-100.507,1.0529,-100.388
50.0737,69.1453,44.4339,69.8664,44.7509,70.9737,50.4162,70.3559
-3.5683,-102.322,-9.249,-102.479,-9.3328,-101.68,-3.6175,-101.53
24.0836,-106.283,18.4108,-106.229,18.5193,-105.408,24.2236,-105.435
37.7095,77.1829,-44.2108,78.8916,-44.4713,80.027,37.9868,78.1974
76.5355,-106.501,70.9095,-106.075,71.2153,-103.795,76.8495,-103.284
-57.3536,-101.791,-62.9607,-103.048,-63.3369,-101.439,-57.7028,-100.419
6.2147,-100.031,0.5307,-100.114,0.516,-99.3203,6.2344,-99.2342
60.0318,-101.109,54.3835,-100.799,54.6616,-99.5047,60.2386,-99.5538
61.4581,73.4118,55.8425,74.5859,56.1997,75.9478,61.8404,74.9827
